final,pinyin,bastardized_pinyin,ipa,bopomofo,bastardized_bopomofo,example,note
a,a,a,a,ㄚ,ㄚ,哪,
ai,ai,ai,ai̯,ㄞ,ㄞ,带,"Some say pronounced aɪ."
air,air,ar,aɚ̯,ㄞㄦ,ㄚㄦ,带儿,
an,an,an,an,ㄢ,ㄢ,哪,
anr,anr,ar,aɚ̯,ㄢㄦ,ㄚㄦ,板儿,
ang,ang,ang,aŋ,ㄤ,ㄤ,趟,"Some say pronounced ɑŋ."
angr,angr,ãr,ãɚ̯̃,ㄤㄦ,ㄤㄦ,趟儿,"Nasalized."
ao,ao,ao,au̯,ㄠ,ㄠ,包,"Some say pronounced ɑu̯."
aor,aor,aor,au̯˞,ㄠㄦ,ㄠㄦ,包儿,
ar,ar,ar,aɚ̯,ㄚㄦ,ㄚㄦ,哪儿,
e,e,ë,ɤ,ㄜ,ㄜ,这,"Note -e\'s e is a close-mid back vowel ɤ."
e'r,er,ër,ɤ˞,ㄜㄦ,ㄜㄦ,这儿,"Denotes when an erhua r is added to an -e final.  Can be confused with 'er and -eir/-enr."
'er,er,ar,aɚ̯,ㄦ,ㄚㄦ,二,"Denotes standalone 'er syllable.  Most often pronounced [aɚ̯] but sometimes (and historically) pronounced [ɚ̯].  Can be confused with e'r and -eir/-enr."
ei,ei,ei,ei̯,ㄟ,ㄟ,贝,
eir,eir,er,ɚ̯,ㄟㄦ,ㆤㄦ,贝儿,"Can be confused with 'er and e'r."
en,en,en,ən,ㄣ,ㄣ,本,"Note -en\'s e is a central vowel ə."
enr,enr,er,ɚ̯,ㄣㄦ,ㆤㄦ,本儿,"Can be confused with 'er and e'r."
eng,eng,eng,əŋ,ㄥ,ㄥ,能,"Note -eng\'s e is a central vowel ə."
engr,engr,ẽr,ɚ̃,ㄥㄦ,ㄥㄦ,崩儿,"Nasalized."
eh,ê,ê,ɛ,ㄝ,ㄝ,欸,"Written in pinyin as ê.  Characters like this also written ai or ei.  Used only as an interjection."
i,i,i,i,ㄧ,ㄧ,一,"Denotes -i not following c,s,z,ch,sh,zh, or r initials.  With no initial written yi."
ir,ir,ir,jɚ,ㄧㄦ,ㄧㄦ,鼻儿,"Denotes -ir not following c,s,z,ch,sh,zh, or r initials."
r,i,ï, ͡ɨ,"",ㆨ,吃,"Denotes -i following ch,sh,zh, or r initial.  Other phonetic symbols used are ʅ, ʐ̩́, ɻ̩, and ɨ.  Bopomofo ㄭ usually omitted."
rr,ir,ïr, ͡ɨɚ,ㄦ,ㆨㄦ,事儿,"Denotes -ir following ch,sh,zh, or r initials."
z,i,ï, ͡ɯ,"",ㄭ,子,"Denotes -i following c,s, or z initial.  Other phonetic symbols used are ɿ, ź̩, ɹ̩, and, ɨ.  Bopomofo ㄭ usually omitted."
zr,ir,ïr, ͡ɯɚ,ㄦ,ㄭㄦ,字儿,"Denotes -ir following c,s, or z initials."
ia,ia,ia,ia,ㄧㄚ,ㄧㄚ,家,"With no initial written ya."
