ascii,initial,final
a,',a
ba,b,a
bar,b,ar
pa,p,a
ma,m,a
mar,m,ar
fa,f,a
far,f,ar
da,d,a
ta,t,a
na,n,a
nar,n,ar
la,l,a
ga,g,a
gar,g,ar
ka,k,a
ha,h,a
zha,zh,a
cha,ch,a
char,ch,ar
sha,sh,a
za,z,a
zar,z,ar
ca,c,a
car,c,ar
sa,s,a
e,',e
me,m,e
de,d,e
te,t,e
ter,t,e'r
ne,n,e
le,l,e
ler,l,e'r
ge,g,e
ger,g,e'r
ke,k,e
ker,k,e'r
he,h,e
her,h,e'r
zhe,zh,e
zher,zh,e'r
che,ch,e
she,sh,e
re,r,e
ze,z,e
ce,c,e
se,s,e
yi,',i
yir,',ir
bi,b,i
bir,b,ir
pi,p,i
pir,p,ir
mi,m,i
di,d,i
dir,d,ir
ti,t,i
ni,n,i
li,l,i
lir,l,ir
ji,j,i
qi,q,i
qir,q,ir
xi,x,i
zhi,zh,r
zhir,zh,rr
chi,ch,r
chir,ch,rr
shi,sh,r
shir,sh,rr
ri,r,r
zi,z,z
zir,z,zr
ci,c,z
cir,c,zr
si,s,z
wu,',u
bu,b,u
bur,b,ur
pu,p,u
pur,p,ur
mu,m,u
fu,f,u
fur,f,ur
du,d,u
dur,d,ur
tu,t,u
nu,n,u
lu,l,u
gu,g,u
ku,k,u
hu,h,u
hur,h,ur
zhu,zh,u
zhur,zh,ur
chu,ch,u
shu,sh,u
shur,sh,ur
ru,r,u
zu,z,u
cu,c,u
su,s,u
yu,',v
yur,',vr
nv,n,v
lv,l,v
lvr,l,vr
ju,j,v
qu,q,v
qur,q,vr
xu,x,v
ai,',ai
bai,b,ai
pai,p,ai
pair,p,air
mai,m,ai
dai,d,ai
dair,d,air
tai,t,ai
nai,n,ai
lai,l,ai
gai,g,ai
gair,g,air
kai,k,ai
hai,h,ai
hair,h,air
zhai,zh,ai
chai,ch,ai
shai,sh,ai
zai,z,ai
cai,c,ai
sai,s,ai
sair,s,air
